year	full_name	fore_name	last_name	conference	source	affiliations	afflcountries
2008	David Jaffe	David	Jaffe	ISMB		Broad Institute	United States
2008	Eugene W Myers	Eugene	Myers	ISMB		HHMI Janelia Farm	United States
2008	Morag Park	Morag	Park	ISMB		McGill University	Canada
2008	Bernhard O. Palsson	Bernhard	Palsson	ISMB		UCSD	United States
2008	Hanah Margalit	Hanah	Margalit	ISMB		Hebrew University Jerusalem	Israel
2009	Trey Ideker	Trey	Ideker	ISMB		UCSD	United States
2009	Webb Miller	Webb	Miller	ISMB		Penn State University	United States
2009	Pierre-Henri Gouyon	Pierre-Henri	Gouyon	ISMB		MNHN/CNRS Origine, Structure et Evolution de la Biodiversité	France
2009	Daphne Koller	Daphne	Koller	ISMB		Stanford University	United States
2009	Thomas Lengauer	Thomas	Lengauer	ISMB		MPI-Informatics	Germany
2009	Eugenia Maria del Pino Veintimilla	Eugenia	Veintimilla	ISMB		Pontifical Catholic University of Ecuador	Ecuador
2009	Thomaso Poggio	Thomaso	Poggio	ISMB		MIT	United States
2009	Mathias Uhlen	Mathias	Uhlen	ISMB		Royal Institute of Technology	Sweden
2010	Steven Brenner	Steven	Brenner	ISMB	https://www.iscb.org/archive/conferences/iscb/ismb2010-program/ismb2010-keynotes.html	UC Berkeley	United States
2010	Susan Lindquist	Susan	Lindquist	ISMB		Whitehead Institute	United States
2010	Svante Paabo	Svante	Paabo	ISMB		MPI-Evolutionary Anthropology	Germany
2010	Chris Sander	Chris	Sander	ISMB		MSKCC	United States
2010	David Altshuler	David	Altshuler	ISMB	https://www.broadinstitute.org/blog/ismb-meeting-david-altshuler	Harvard University	United States
2010	George Church	George	Church	ISMB		Harvard University	United States
2010	Robert Weinberg	Robert	Weinberg	ISMB		Whitehead Institute	United States
2011	Bonnie Berger	Bonnie	Berger	ISMB		MIT	United States
2011	Olga Troyanskaya	Olga	Troyanskaya	ISMB		Princeton University	United States
2011	Janet Thornton	Janet	Thornton	ISMB		EMBL-EBI	United Kingdom
2011	Alfonso Valencia	Alfonso	Valencia	ISMB		Spanish National Cancer Research Center	Spain
2011	Luis Serrano	Luis	Serrano	ISMB		Centre for Genomic Regulation	Spain
2011	Michael Ashburner	Michael	Ashburner	ISMB		University of Cambridge	United Kingdom
2012	Richard Lathrop	Richard	Lathrop	ISMB		University of California Irvine	United States
2012	Lawrence Hunter	Lawrence	Hunter	ISMB		University of Colorado	United States
2012	Ziv Bar-Joseph	Ziv	Bar-Joseph	ISMB		Carnegie Mellon University	United States
