fore_name_simple	n_authors	genderize_sample_size	query_date	probability_male
nan	88	4390	2019-09-21	0.30000000000000004
nan	88	4390	2019-09-22	0.30000000000000004
nan	88	4390	2019-09-24	0.30000000000000004
bryan	88	22678	2019-09-20	0.99
diane	87	15367	2019-09-20	0.030000000000000027
marina	87	109549	2019-09-20	0.020000000000000018
uwe	87	12326	2019-09-20	0.99
rodrigo	86	22355	2019-09-20	0.99
darren	86	15908	2019-09-20	0.99
trevor	86	6317	2019-09-20	0.99
zachary	85	2836	2019-09-20	0.99
georgios	85	2379	2019-09-20	0.99
can	85	47341	2019-09-20	0.95
herbert	84	6675	2019-09-20	0.98
chiara	84	58622	2019-09-20	0.010000000000000009
axel	84	20345	2019-09-20	0.98
daisuke	84	2193	2019-09-20	1.0
carol	84	33721	2019-09-20	0.030000000000000027
rita	84	59990	2019-09-20	0.020000000000000018
carlo	83	55640	2019-09-20	0.99
terry	83	20947	2019-09-20	0.7
mathias	83	17180	2019-09-20	0.99
jordi	83	31600	2019-09-20	0.99
jochen	83	4220	2019-09-20	1.0
quan	83	628	2019-09-20	0.87
uri	82	1576	2019-09-20	0.95
nathalie	82	94304	2019-09-20	0.020000000000000018
jürgen	82	727	2019-09-20	0.99
diana	82	89820	2019-09-20	0.020000000000000018
oscar	82	69174	2019-09-20	0.99
jia	82	2077	2019-09-20	0.37
katharina	81	18153	2019-09-20	0.030000000000000027
irina	81	42701	2019-09-20	0.020000000000000018
ole	81	5205	2019-09-20	0.95
joanna	81	72381	2019-09-20	0.020000000000000018
graham	81	8693	2019-09-20	0.99
tomasz	80	61026	2019-09-20	1.0
raphael	80	10284	2019-09-20	0.99
claus	80	4383	2019-09-20	0.96
ann	80	28026	2019-09-20	0.030000000000000027
paulo	79	61515	2019-09-20	0.99
allan	79	15455	2019-09-20	0.99
chun	79	1985	2019-09-20	0.84
kathryn	79	2307	2019-09-20	0.020000000000000018
avi	79	2105	2019-09-20	0.89
joe	79	58829	2019-09-20	0.95
russ	79	1602	2019-09-20	0.98
pieter	78	7575	2019-09-20	0.99
mehmet	78	228228	2019-09-20	0.97
brendan	78	3457	2019-09-20	0.99
valentina	78	75303	2019-09-20	0.010000000000000009
matthieu	78	18665	2019-09-20	0.99
carmen	78	103801	2019-09-20	0.020000000000000018
marek	78	72236	2019-09-20	0.99
pier	78	7732	2019-09-20	0.98
dominique	78	51398	2019-09-20	0.57
sam	78	96261	2019-09-20	0.81
konstantinos	77	4197	2019-09-20	0.99
luke	77	16791	2019-09-20	0.99
maxim	77	9825	2019-09-20	0.97
pawel	77	19522	2019-09-20	0.99
martijn	77	5978	2019-09-20	0.99
ke	77	1541	2019-09-20	0.8
niko	77	23757	2019-09-20	0.96
frederick	77	5190	2019-09-20	0.99
piotr	77	88789	2019-09-20	1.0
christos	77	5611	2019-09-20	0.99
irene	76	50462	2019-09-20	0.010000000000000009
karin	76	25914	2019-09-20	0.030000000000000027
andrzej	76	40041	2019-09-20	0.99
sylvain	76	37051	2019-09-20	0.99
han	76	5588	2019-09-20	0.73
maría	76	232436	2019-09-20	0.010000000000000009
luigi	76	68518	2019-09-20	0.99
elisabeth	76	27551	2019-09-20	0.020000000000000018
heather	76	6049	2019-09-20	0.020000000000000018
bonnie	76	3712	2019-09-20	0.09999999999999998
alfredo	76	28805	2019-09-20	0.99
chad	76	7821	2019-09-20	0.99
theodore	76	2116	2019-09-20	0.98
suzanne	75	9856	2019-09-20	0.020000000000000018
noah	75	3939	2019-09-20	0.88
gavin	75	5560	2019-09-20	0.99
ignacio	75	9789	2019-09-20	0.99
jianlin	75	21	2019-09-20	0.9
lu	75	4669	2019-09-20	0.43000000000000005
jean-philippe	74	4945	2019-09-20	0.99
le	74	23550	2019-09-20	0.79
jane	74	36653	2019-09-20	0.030000000000000027
jean-françois	74	1826	2019-09-20	0.99
alice	74	68971	2019-09-20	0.020000000000000018
satoru	74	629	2019-09-20	0.99
tatiana	74	38772	2019-09-20	0.020000000000000018
silvia	73	120107	2019-09-20	0.010000000000000009
piero	73	22914	2019-09-20	0.99
natalia	73	102542	2019-09-20	0.020000000000000018
tatsuya	73	1244	2019-09-20	1.0
gabriele	73	34408	2019-09-20	0.85
knut	73	1602	2019-09-20	0.98
iain	73	2485	2019-09-20	0.99
matt	72	38275	2019-09-20	0.99
stéphane	72	761	2019-09-20	0.99
amir	72	31516	2019-09-20	0.98
sun	72	6975	2019-09-20	0.52
zhiyong	71	76	2019-09-20	0.97
volker	71	4854	2019-09-20	0.99
amit	71	8292	2019-09-20	0.99
istván	71	93	2019-09-20	0.99
meng	71	1225	2019-09-20	0.63
lukasz	71	12943	2019-09-20	0.99
stanley	70	8165	2019-09-20	0.99
ravi	70	6167	2019-09-20	0.98
jay	70	36724	2019-09-20	0.91
cathy	70	28369	2019-09-20	0.020000000000000018
nigel	70	5537	2019-09-20	0.99
alison	70	25555	2019-09-20	0.020000000000000018
ulf	70	3044	2019-09-20	0.98
emma	69	57489	2019-09-20	0.06999999999999995
cristian	69	75120	2019-09-20	0.99
nikolay	69	3942	2019-09-20	0.99
giulia	69	60748	2019-09-20	0.010000000000000009
gerhard	69	6677	2019-09-20	0.99
chi	69	3281	2019-09-20	0.6
konstantin	68	6194	2019-09-20	1.0
daniele	68	77519	2019-09-20	0.95
phillip	68	7618	2019-09-20	0.99
fiona	68	11154	2019-09-20	0.030000000000000027
xing	68	550	2019-09-20	0.65
weida	68	26	2019-09-20	0.69
jakob	68	5281	2019-09-20	0.99
anita	67	66163	2019-09-20	0.020000000000000018
kristin	67	6934	2019-09-20	0.06999999999999995
xiaohui	67	128	2019-09-20	0.51
ahmed	67	139051	2019-09-20	0.98
kay	67	11485	2019-09-20	0.6
mikael	67	16160	2019-09-20	0.99
magnus	67	7424	2019-09-20	0.99
takashi	67	2985	2019-09-20	0.99
hamid	67	29271	2019-09-20	0.98
edwin	67	17259	2019-09-20	0.99
kimberly	67	17328	2019-09-20	0.010000000000000009
rahul	67	9912	2019-09-20	0.99
marcin	67	95745	2019-09-20	1.0
fabien	66	33928	2019-09-20	0.99
moritz	66	4088	2019-09-20	0.99
koji	66	1511	2019-09-20	0.99
franziska	66	12249	2019-09-20	0.030000000000000027
jong	66	2523	2019-09-20	0.94
brandon	66	14697	2019-09-20	0.99
xiaowei	66	142	2019-09-20	0.54
ning	66	1681	2019-09-20	0.24
torsten	66	8828	2019-09-20	1.0
song	65	2068	2019-09-20	0.69
florence	65	31246	2019-09-20	0.020000000000000018
joost	65	3237	2019-09-20	0.99
jeroen	65	11552	2019-09-20	0.99
joaquín	65	44	2019-09-20	1.0
xi	65	406	2019-09-20	0.53
kiyoshi	65	414	2019-09-20	0.99
danielle	65	21788	2019-09-20	0.030000000000000027
leonid	65	2369	2019-09-20	1.0
rené	65	4	2019-09-20	1.0
victoria	64	35658	2019-09-20	0.020000000000000018
shawn	64	8922	2019-09-20	0.97
aleksandra	64	49679	2019-09-20	0.020000000000000018
harold	64	5937	2019-09-20	0.99
ruben	64	60998	2019-09-20	0.99
andrej	64	7941	2019-09-20	0.99
giulio	64	19697	2019-09-20	0.99
natalie	64	22384	2019-09-20	0.020000000000000018
kelly	64	40778	2019-09-20	0.13
mehdi	64	48418	2019-09-20	0.98
susanne	63	22012	2019-09-20	0.020000000000000018
stefanie	63	25370	2019-09-20	0.030000000000000027
heiko	63	8654	2019-09-20	0.99
maciej	63	29541	2019-09-20	1.0
audrey	63	54814	2019-09-20	0.030000000000000027
atul	63	1337	2019-09-20	0.99
antti	63	2715	2019-09-20	1.0
konrad	63	16185	2019-09-20	1.0
timo	63	16048	2019-09-20	0.99
erin	63	3169	2019-09-20	0.22999999999999998
frederic	62	41164	2019-09-20	0.99
shoba	62	73	2019-09-20	0.12
mohammed	62	51883	2019-09-20	0.98
dieter	62	8806	2019-09-20	0.99
sharon	62	33532	2019-09-20	0.020000000000000018
hannah	62	13198	2019-09-20	0.030000000000000027
jared	62	4056	2019-09-20	0.99
filippo	61	27899	2019-09-20	0.99
geir	61	1211	2019-09-20	0.99
howard	61	3213	2019-09-20	0.99
lucas	61	40689	2019-09-20	0.98
clemens	61	1725	2019-09-20	0.99
rick	61	16772	2019-09-20	0.99
petra	61	81279	2019-09-20	0.010000000000000009
mona	61	20027	2019-09-20	0.030000000000000027
fabrizio	61	34325	2019-09-20	0.99
isabel	61	60396	2019-09-20	0.020000000000000018
brett	61	5601	2019-09-20	0.99
luonan	61	2	2019-09-20	1.0
bradley	60	5098	2019-09-20	0.99
gianluca	60	41833	2019-09-20	0.99
yael	60	1173	2019-09-20	0.27
cedric	60	44343	2019-09-20	0.99
oleg	60	14108	2019-09-20	1.0
eytan	60	165	2019-09-20	0.85
sudhir	60	785	2019-09-20	1.0
anja	60	28930	2019-09-20	0.020000000000000018
ramon	60	27550	2019-09-20	0.98
wayne	59	12470	2019-09-20	0.98
leonard	59	7781	2019-09-20	0.99
joan	59	27362	2019-09-20	0.69
anil	59	6560	2019-09-20	0.97
ingo	59	5790	2019-09-20	0.99
alexandros	59	4437	2019-09-20	0.99
petr	59	81130	2019-09-20	0.98
ziv	59	160	2019-09-20	0.93
jinyan	59	27	2019-09-20	0.18999999999999995
elisa	59	80935	2019-09-20	0.010000000000000009
denise	59	34047	2019-09-20	0.020000000000000018
kristian	59	8752	2019-09-20	0.99
yuri	59	9549	2019-09-20	0.76
shaun	58	9813	2019-09-20	0.99
gonzalo	58	14183	2019-09-20	0.99
jerzy	58	7948	2019-09-20	0.99
valerie	58	38121	2019-09-20	0.020000000000000018
gerald	58	13923	2019-09-20	0.99
ines	58	25430	2019-09-20	0.020000000000000018
lorenzo	58	55168	2019-09-20	0.99
lior	58	535	2019-09-20	0.86
isabelle	58	89728	2019-09-20	0.010000000000000009
vijay	58	4926	2019-09-20	0.99
edgar	58	16632	2019-09-20	0.99
xiaohua	57	83	2019-09-20	0.43000000000000005
tanja	57	35007	2019-09-20	0.020000000000000018
deborah	57	33214	2019-09-20	0.010000000000000009
valentin	57	25868	2019-09-20	0.99
olli	57	3365	2019-09-20	0.95
gerard	57	28780	2019-09-20	0.98
fredrik	56	9106	2019-09-20	0.99
filip	56	23771	2019-09-20	0.98
janusz	56	11913	2019-09-20	0.99
kristina	56	29132	2019-09-20	0.020000000000000018
melanie	56	80630	2019-09-20	0.020000000000000018
bjoern	56	885	2019-09-20	1.0
ekaterina	56	11546	2019-09-20	0.020000000000000018
glenn	56	9801	2019-09-20	0.98
seth	56	4054	2019-09-20	0.98
limsoon	56	0	2019-09-20	
gilles	55	26205	2019-09-20	0.99
nina	55	80011	2019-09-20	0.020000000000000018
raquel	55	50152	2019-09-20	0.020000000000000018
jenny	55	74278	2019-09-20	0.020000000000000018
leslie	55	12112	2019-09-20	0.22999999999999998
saurabh	55	1883	2019-09-20	0.99
domenico	55	40956	2019-09-20	0.99
wing	55	1284	2019-09-20	0.59
hendrik	55	6182	2019-09-20	0.99
celine	55	62291	2019-09-20	0.010000000000000009
brent	55	4210	2019-09-20	0.99
hugo	55	46650	2019-09-20	0.99
yutaka	55	748	2019-09-20	0.99
arun	54	4661	2019-09-20	0.98
søren	54	360	2019-09-20	1.0
jianxin	54	45	2019-09-20	0.93
tin	54	1856	2019-09-20	0.63
